pos,team,punti_medi,posizione_media,GF_medi,GS_medi,DR_medio,V_medie,N_medie,P_medie,prob_titolo_%,prob_champions_top4_%,prob_europa_top6_%,prob_retrocessione_%
1,Inter,82.9,1.9,93.9,48.6,45.3,25.1,7.6,5.3,60.5,93.5,98.1,0.0
2,Napoli,71.2,4.3,76.8,51.4,25.3,20.7,9.0,8.2,11.5,61.0,81.0,0.0
3,Roma,68.6,5.0,72.8,53.3,19.5,19.8,9.2,9.0,8.4,49.8,72.6,0.1
4,Juventus,68.2,5.1,71.0,51.0,20.0,19.6,9.4,9.0,6.6,49.5,71.4,0.0
5,Milan,65.9,5.7,75.9,57.2,18.6,18.8,9.4,9.8,4.3,40.4,64.0,0.2
6,Atalanta,65.1,6.0,76.9,59.1,17.9,18.5,9.6,9.9,4.2,37.0,60.2,0.1
7,Como,62.4,6.9,70.1,57.7,12.4,17.5,9.7,10.7,2.4,27.1,49.4,0.2
8,Lazio,57.8,8.4,68.9,61.0,7.9,16.0,9.9,12.1,0.9,15.2,32.7,1.0
9,Bologna,56.9,8.7,66.2,61.2,5.1,15.6,10.0,12.4,0.9,12.8,29.2,0.9
10,Fiorentina,52.2,10.3,65.7,64.5,1.2,14.0,10.1,13.9,0.2,6.2,15.4,2.7
11,Torino,47.0,12.2,56.0,62.4,-6.4,12.2,10.3,15.5,0.1,2.2,6.8,8.0
12,Udinese,46.4,12.4,60.3,68.3,-7.9,12.1,10.2,15.7,0.0,2.0,5.9,7.5
13,Sassuolo,45.3,12.8,64.2,75.3,-11.1,11.7,10.2,16.1,0.0,1.3,4.8,10.3
14,Genoa,42.6,13.8,53.7,66.6,-12.9,10.8,10.2,17.0,0.0,0.6,2.7,15.4
15,Parma,42.5,13.8,54.1,67.1,-13.0,10.8,10.2,17.0,0.0,0.6,2.9,15.7
16,Cagliari,41.4,14.2,56.6,73.2,-16.6,10.4,10.1,17.4,0.0,0.6,2.0,18.9
17,Lecce,36.9,15.7,47.7,67.8,-20.1,8.9,10.1,19.0,0.0,0.2,0.7,32.4
18,Venezia,33.1,16.8,50.0,76.5,-26.5,7.9,9.5,20.6,0.0,0.0,0.1,49.3
19,Monza,30.4,17.5,49.6,76.6,-27.0,7.1,9.2,21.7,0.0,0.0,0.1,60.9
20,Frosinone,26.8,18.4,51.7,83.5,-31.9,6.0,8.9,23.1,0.0,0.0,0.0,76.6
