matchday,date,home_team,away_team,prob_home,prob_draw,prob_away,esito_piu_probabile
1,2026-08-22,Inter,Monza,83.1,11.4,5.5,Vittoria casa
1,2026-08-22,Udinese,Como,27.4,27.9,44.7,Vittoria trasferta
1,2026-08-22,Genoa,Napoli,19.2,24.1,56.6,Vittoria trasferta
1,2026-08-22,Parma,Cagliari,43.5,31.9,24.7,Vittoria casa
1,2026-08-23,Venezia,Lecce,36.6,36.4,26.9,Vittoria casa
1,2026-08-23,Frosinone,Juventus,11.2,23.3,65.5,Vittoria trasferta
1,2026-08-23,Atalanta,Sassuolo,61.8,24.2,14.0,Vittoria casa
1,2026-08-23,Torino,Milan,26.0,25.9,48.1,Vittoria trasferta
1,2026-08-24,Bologna,Lazio,42.2,29.0,28.8,Vittoria casa
1,2026-08-24,Roma,Fiorentina,58.5,24.4,17.1,Vittoria casa
2,2026-08-28,Milan,Venezia,70.8,19.5,9.8,Vittoria casa
2,2026-08-29,Fiorentina,Frosinone,67.5,21.9,10.5,Vittoria casa
2,2026-08-29,Monza,Udinese,24.8,28.6,46.5,Vittoria trasferta
2,2026-08-29,Sassuolo,Torino,41.3,30.9,27.8,Vittoria casa
2,2026-08-29,Juventus,Parma,67.1,21.3,11.6,Vittoria casa
2,2026-08-30,Napoli,Como,52.0,27.9,20.1,Vittoria casa
2,2026-08-30,Cagliari,Inter,11.3,19.4,69.3,Vittoria trasferta
2,2026-08-30,Lazio,Genoa,55.0,26.8,18.2,Vittoria casa
2,2026-08-31,Lecce,Roma,16.5,24.2,59.4,Vittoria trasferta
2,2026-08-31,Atalanta,Bologna,51.8,27.2,21.0,Vittoria casa
3,2026-09-04,Genoa,Como,25.0,28.0,47.0,Vittoria trasferta
3,2026-09-05,Fiorentina,Torino,47.7,28.8,23.5,Vittoria casa
3,2026-09-05,Inter,Napoli,58.2,24.8,17.1,Vittoria casa
3,2026-09-05,Roma,Atalanta,48.4,28.0,23.6,Vittoria casa
3,2026-09-06,Frosinone,Venezia,33.5,31.8,34.7,Vittoria trasferta
3,2026-09-06,Parma,Monza,53.2,29.4,17.4,Vittoria casa
3,2026-09-06,Bologna,Sassuolo,54.0,26.8,19.2,Vittoria casa
3,2026-09-06,Juventus,Milan,47.0,27.7,25.3,Vittoria casa
3,2026-09-07,Cagliari,Lecce,46.0,30.3,23.7,Vittoria casa
3,2026-09-07,Udinese,Lazio,31.1,28.3,40.6,Vittoria trasferta
4,2026-09-11,Venezia,Fiorentina,23.7,26.4,49.9,Vittoria trasferta
4,2026-09-12,Genoa,Frosinone,58.0,27.5,14.5,Vittoria casa
4,2026-09-12,Lazio,Milan,36.0,28.4,35.6,Vittoria casa
4,2026-09-12,Atalanta,Cagliari,63.7,24.0,12.3,Vittoria casa
4,2026-09-13,Torino,Roma,23.4,25.8,50.8,Vittoria trasferta
4,2026-09-13,Como,Parma,61.6,24.1,14.4,Vittoria casa
4,2026-09-13,Lecce,Monza,49.6,28.7,21.7,Vittoria casa
4,2026-09-13,Napoli,Bologna,57.7,25.6,16.7,Vittoria casa
4,2026-09-13,Sassuolo,Juventus,22.7,24.2,53.2,Vittoria trasferta
4,2026-09-14,Inter,Udinese,73.8,17.9,8.2,Vittoria casa
5,2026-09-18,Monza,Sassuolo,25.7,27.5,46.8,Vittoria trasferta
5,2026-09-19,Bologna,Torino,51.9,27.5,20.6,Vittoria casa
5,2026-09-19,Udinese,Cagliari,45.7,29.7,24.6,Vittoria casa
5,2026-09-19,Roma,Inter,27.1,26.2,46.8,Vittoria trasferta
5,2026-09-19,Venezia,Lazio,20.4,25.7,53.9,Vittoria trasferta
5,2026-09-20,Fiorentina,Napoli,24.7,27.5,47.8,Vittoria trasferta
5,2026-09-20,Frosinone,Como,12.6,22.1,65.3,Vittoria trasferta
5,2026-09-20,Parma,Genoa,43.0,30.5,26.5,Vittoria casa
5,2026-09-20,Juventus,Atalanta,47.2,27.9,24.8,Vittoria casa
5,2026-09-20,Milan,Lecce,67.6,21.6,10.8,Vittoria casa
6,2026-10-11,Atalanta,Venezia,71.6,18.8,9.6,Vittoria casa
6,2026-10-11,Cagliari,Juventus,20.0,24.2,55.8,Vittoria trasferta
6,2026-10-11,Genoa,Fiorentina,33.2,30.5,36.2,Vittoria trasferta
6,2026-10-11,Como,Roma,37.6,28.1,34.3,Vittoria casa
6,2026-10-11,Torino,Udinese,42.9,29.8,27.2,Vittoria casa
6,2026-10-11,Inter,Parma,76.4,16.4,7.2,Vittoria casa
6,2026-10-11,Lazio,Monza,69.7,19.9,10.5,Vittoria casa
6,2026-10-11,Sassuolo,Milan,24.3,25.0,50.7,Vittoria trasferta
6,2026-10-11,Napoli,Frosinone,78.7,14.8,6.5,Vittoria casa
6,2026-10-11,Lecce,Bologna,23.9,27.4,48.7,Vittoria trasferta
7,2026-10-18,Fiorentina,Como,33.7,28.4,37.9,Vittoria trasferta
7,2026-10-18,Milan,Atalanta,45.6,28.7,25.7,Vittoria casa
7,2026-10-18,Monza,Cagliari,29.6,30.5,39.9,Vittoria trasferta
7,2026-10-18,Roma,Genoa,66.3,21.8,11.9,Vittoria casa
7,2026-10-18,Bologna,Inter,18.4,22.6,59.0,Vittoria trasferta
7,2026-10-18,Venezia,Napoli,13.2,22.1,64.7,Vittoria trasferta
7,2026-10-18,Frosinone,Sassuolo,22.7,27.4,50.0,Vittoria trasferta
7,2026-10-18,Juventus,Lazio,53.2,26.7,20.2,Vittoria casa
7,2026-10-18,Parma,Torino,38.2,30.3,31.5,Vittoria casa
7,2026-10-18,Udinese,Lecce,50.2,29.1,20.7,Vittoria casa
8,2026-10-25,Atalanta,Frosinone,75.2,17.2,7.7,Vittoria casa
8,2026-10-25,Cagliari,Bologna,27.7,28.7,43.5,Vittoria trasferta
8,2026-10-25,Genoa,Venezia,51.4,29.4,19.2,Vittoria casa
8,2026-10-25,Como,Sassuolo,59.4,24.9,15.8,Vittoria casa
8,2026-10-25,Torino,Monza,60.0,24.7,15.4,Vittoria casa
8,2026-10-25,Inter,Fiorentina,71.3,19.2,9.6,Vittoria casa
8,2026-10-25,Lazio,Parma,56.0,27.1,16.9,Vittoria casa
8,2026-10-25,Napoli,Roma,46.6,27.4,26.0,Vittoria casa
8,2026-10-25,Udinese,Milan,25.3,25.9,48.8,Vittoria trasferta
8,2026-10-25,Lecce,Juventus,17.2,23.7,59.1,Vittoria trasferta
9,2026-10-28,Fiorentina,Atalanta,30.6,27.9,41.5,Vittoria trasferta
9,2026-10-28,Milan,Bologna,52.0,26.2,21.8,Vittoria casa
9,2026-10-28,Monza,Napoli,11.5,19.7,68.8,Vittoria trasferta
