giornata_riferimento,data_previsione,pos,team,punti_medi,posizione_media,GF_medi,GS_medi,DR_medio,V_medie,N_medie,P_medie,prob_titolo_%,prob_champions_top4_%,prob_europa_top6_%,prob_retrocessione_%
0,2026-08-19,1,Inter,81.1,2.0,93.2,49.7,43.6,24.5,7.8,5.8,54.3,91.9,97.8,0.0
0,2026-08-19,2,Juventus,70.6,4.5,72.0,49.7,22.3,20.5,9.2,8.4,10.9,56.3,78.0,0.0
0,2026-08-19,3,Napoli,70.6,4.5,76.5,51.5,25.0,20.5,9.1,8.4,9.9,57.5,79.3,0.0
0,2026-08-19,4,Roma,69.9,4.7,73.5,52.6,21.0,20.3,9.2,8.6,8.8,53.0,76.1,0.0
0,2026-08-19,5,Milan,67.8,5.3,76.9,56.3,20.5,19.5,9.2,9.3,6.5,43.7,68.3,0.0
0,2026-08-19,6,Atalanta,66.3,5.8,77.6,58.4,19.2,19.0,9.5,9.6,5.1,36.7,62.9,0.0
0,2026-08-19,7,Como,64.5,6.5,71.1,56.6,14.4,18.3,9.7,10.1,2.9,30.0,53.5,0.0
0,2026-08-19,8,Lazio,58.2,8.5,69.0,60.5,8.5,16.1,10.0,11.9,0.8,11.7,27.6,0.2
0,2026-08-19,9,Bologna,57.0,9.0,66.4,61.0,5.4,15.6,10.1,12.3,0.4,9.2,23.1,0.3
0,2026-08-19,10,Fiorentina,53.8,10.1,66.4,63.5,2.9,14.5,10.2,13.3,0.3,5.1,14.4,0.8
0,2026-08-19,11,Udinese,48.3,12.1,61.2,67.3,-6.0,12.7,10.2,15.1,0.0,1.3,4.7,2.7
0,2026-08-19,12,Sassuolo,48.1,12.2,65.7,74.1,-8.3,12.7,10.1,15.2,0.0,1.5,4.9,3.0
0,2026-08-19,13,Torino,47.8,12.2,56.3,62.1,-5.7,12.6,10.1,15.3,0.1,1.4,4.5,2.8
0,2026-08-19,14,Genoa,43.8,13.7,54.2,66.0,-11.8,11.2,10.2,16.6,0.0,0.2,1.5,6.5
0,2026-08-19,15,Parma,43.8,13.7,54.7,66.7,-12.0,11.2,10.0,16.7,0.0,0.4,1.6,5.8
0,2026-08-19,16,Cagliari,43.0,14.0,57.5,72.8,-15.3,11.0,10.0,17.0,0.0,0.2,1.5,7.7
0,2026-08-19,17,Lecce,39.2,15.1,49.0,66.9,-17.9,9.7,10.0,18.3,0.0,0.0,0.4,15.3
0,2026-08-19,18,Venezia,26.6,18.2,46.3,80.0,-33.6,6.0,8.6,23.4,0.0,0.0,0.0,76.2
0,2026-08-19,19,Monza,24.9,18.5,46.7,79.8,-33.0,5.5,8.3,24.2,0.0,0.0,0.0,83.4
0,2026-08-19,20,Frosinone,20.2,19.3,48.7,87.9,-39.2,4.3,7.5,26.3,0.0,0.0,0.0,95.4
