team,season,valore_rosa_eur,n_giocatori,valore_rosa_milioni,affidabile
Atalanta,2004/2005,19950000,9,20.0,False
Atalanta,2005/2006,400000,1,0.4,False
Atalanta,2006/2007,9300000,3,9.3,False
Atalanta,2007/2008,22000000,9,22.0,False
Atalanta,2008/2009,25950000,8,26.0,False
Atalanta,2009/2010,40650000,15,40.6,True
Atalanta,2010/2011,27925000,19,27.9,True
Atalanta,2011/2012,58300000,26,58.3,True
Atalanta,2012/2013,59275000,33,59.3,True
Atalanta,2013/2014,58550000,30,58.6,True
Atalanta,2014/2015,83550000,44,83.6,True
Atalanta,2015/2016,73400000,36,73.4,True
Atalanta,2016/2017,153725000,40,153.7,True
Atalanta,2017/2018,200650000,29,200.6,True
Atalanta,2018/2019,256900000,27,256.9,True
Atalanta,2019/2020,283800000,28,283.8,True
Atalanta,2020/2021,451750000,37,451.8,True
Atalanta,2021/2022,426900000,29,426.9,True
Atalanta,2022/2023,340000000,26,340.0,True
Atalanta,2023/2024,413800000,27,413.8,True
Atalanta,2024/2025,488500000,29,488.5,True
Atalanta,2025/2026,463600000,27,463.6,True
Benevento,2009/2010,350000,2,0.4,False
Benevento,2010/2011,600000,2,0.6,False
Benevento,2011/2012,775000,4,0.8,False
Benevento,2012/2013,750000,3,0.8,False
Benevento,2013/2014,775000,3,0.8,False
Benevento,2014/2015,1350000,7,1.4,False
Benevento,2015/2016,2025000,7,2.0,False
Benevento,2016/2017,18650000,18,18.6,True
Benevento,2017/2018,41875000,30,41.9,True
Benevento,2018/2019,19975000,26,20.0,True
Benevento,2019/2020,19350000,26,19.4,True
Benevento,2020/2021,49850000,34,49.8,True
Benevento,2021/2022,26100000,28,26.1,True
Benevento,2022/2023,15950000,28,16.0,True
Benevento,2023/2024,1200000,3,1.2,False
Benevento,2024/2025,2350000,2,2.4,False
Bologna,2004/2005,300000,1,0.3,False
Bologna,2006/2007,500000,2,0.5,False
Bologna,2007/2008,1250000,5,1.2,False
Bologna,2008/2009,6400000,4,6.4,False
Bologna,2009/2010,19350000,11,19.4,False
Bologna,2010/2011,31650000,17,31.6,True
Bologna,2011/2012,45850000,21,45.8,True
Bologna,2012/2013,51350000,29,51.4,True
Bologna,2013/2014,41300000,26,41.3,True
Bologna,2014/2015,34725000,44,34.7,True
Bologna,2015/2016,61775000,30,61.8,True
Bologna,2016/2017,81975000,34,82.0,True
Bologna,2017/2018,84700000,27,84.7,True
Bologna,2018/2019,91825000,27,91.8,True
Bologna,2019/2020,122575000,27,122.6,True
Bologna,2020/2021,154525000,38,154.5,True
Bologna,2021/2022,152700000,32,152.7,True
Bologna,2022/2023,155800000,33,155.8,True
Bologna,2023/2024,299200000,30,299.2,True
Bologna,2024/2025,384800000,33,384.8,True
Bologna,2025/2026,292700000,31,292.7,True
Brescia,2004/2005,9600000,7,9.6,False
Brescia,2005/2006,500000,1,0.5,False
Brescia,2007/2008,1900000,2,1.9,False
Brescia,2008/2009,1600000,2,1.6,False
Brescia,2009/2010,4950000,6,5.0,False
Brescia,2010/2011,16900000,8,16.9,False
Brescia,2011/2012,9150000,6,9.2,False
Brescia,2012/2013,8900000,9,8.9,False
Brescia,2013/2014,7150000,11,7.2,False
Brescia,2014/2015,7750000,15,7.8,True
Brescia,2015/2016,10225000,16,10.2,True
Brescia,2016/2017,17700000,26,17.7,True
Brescia,2017/2018,20750000,27,20.8,True
Brescia,2018/2019,56575000,24,56.6,True
Brescia,2019/2020,85475000,31,85.5,True
Brescia,2020/2021,74550000,30,74.6,True
Brescia,2021/2022,32900000,28,32.9,True
Brescia,2022/2023,18550000,24,18.6,True
Brescia,2023/2024,6250000,7,6.2,False
Brescia,2024/2025,4450000,5,4.4,False
Cagliari,2004/2005,5200000,4,5.2,False
Cagliari,2005/2006,11200000,9,11.2,False
Cagliari,2006/2007,13200000,9,13.2,False
Cagliari,2007/2008,31400000,16,31.4,True
Cagliari,2008/2009,32200000,12,32.2,False
Cagliari,2009/2010,58900000,17,58.9,True
Cagliari,2010/2011,69350000,20,69.4,True
Cagliari,2011/2012,47200000,19,47.2,True
Cagliari,2012/2013,57125000,24,57.1,True
Cagliari,2013/2014,48300000,20,48.3,True
Cagliari,2014/2015,64025000,35,64.0,True
Cagliari,2015/2016,45050000,28,45.0,True
Cagliari,2016/2017,56450000,30,56.4,True
Cagliari,2017/2018,94450000,29,94.4,True
Cagliari,2018/2019,135600000,31,135.6,True
Cagliari,2019/2020,146175000,31,146.2,True
Cagliari,2020/2021,198300000,41,198.3,True
Cagliari,2021/2022,110100000,31,110.1,True
Cagliari,2022/2023,38250000,29,38.2,True
Cagliari,2023/2024,88875000,33,88.9,True
Cagliari,2024/2025,83300000,27,83.3,True
Cagliari,2025/2026,179300000,35,179.3,True
Chievo,2004/2005,20100000,6,20.1,False
Chievo,2005/2006,22400000,8,22.4,False
Chievo,2006/2007,28750000,7,28.8,False
Chievo,2007/2008,10650000,7,10.6,False
Chievo,2008/2009,17900000,12,17.9,False
Chievo,2009/2010,31200000,16,31.2,True
Chievo,2010/2011,36575000,22,36.6,True
Chievo,2011/2012,42700000,27,42.7,True
Chievo,2012/2013,48350000,31,48.4,True
Chievo,2013/2014,50350000,39,50.4,True
Chievo,2014/2015,57425000,48,57.4,True
Chievo,2015/2016,39975000,29,40.0,True
Chievo,2016/2017,38700000,32,38.7,True
Chievo,2017/2018,49050000,28,49.0,True
Chievo,2018/2019,43750000,32,43.8,True
Chievo,2019/2020,18075000,35,18.1,True
Chievo,2020/2021,26275000,34,26.3,True
Como,2009/2010,50000,1,0.0,False
Como,2010/2011,150000,2,0.2,False
Como,2011/2012,125000,1,0.1,False
Como,2012/2013,1250000,5,1.2,False
Como,2013/2014,625000,5,0.6,False
Como,2014/2015,1275000,6,1.3,False
Como,2015/2016,13150000,16,13.2,True
Como,2016/2017,1400000,6,1.4,False
Como,2017/2018,225000,2,0.2,False
Como,2018/2019,700000,6,0.7,False
Como,2019/2020,2150000,14,2.2,False
Como,2020/2021,3750000,17,3.8,True
Como,2021/2022,14425000,22,14.4,True
Como,2022/2023,23500000,26,23.5,True
Como,2023/2024,44450000,23,44.4,True
Como,2024/2025,203000000,39,203.0,True
Como,2025/2026,399300000,32,399.3,True
Cremonese,2008/2009,300000,1,0.3,False
Cremonese,2009/2010,700000,2,0.7,False
Cremonese,2010/2011,925000,4,0.9,False
Cremonese,2011/2012,1600000,5,1.6,False
Cremonese,2012/2013,1675000,6,1.7,False
Cremonese,2013/2014,550000,2,0.6,False
Cremonese,2014/2015,1525000,10,1.5,False
Cremonese,2015/2016,1100000,6,1.1,False
Cremonese,2016/2017,2425000,12,2.4,False
Cremonese,2017/2018,9800000,17,9.8,True
Cremonese,2018/2019,12050000,21,12.0,True
Cremonese,2019/2020,13350000,25,13.4,True
Cremonese,2020/2021,19980000,31,20.0,True
Cremonese,2021/2022,41300000,27,41.3,True
Cremonese,2022/2023,83000000,35,83.0,True
Cremonese,2023/2024,24600000,14,24.6,False
Cremonese,2024/2025,17550000,13,17.6,False
Cremonese,2025/2026,71850000,30,71.8,True
Crotone,2004/2005,1750000,5,1.8,False
Crotone,2009/2010,2000000,6,2.0,False
Crotone,2010/2011,5850000,8,5.8,False
Crotone,2011/2012,9650000,12,9.6,False
Crotone,2012/2013,7000000,10,7.0,False
Crotone,2013/2014,11400000,18,11.4,True
Crotone,2014/2015,12075000,23,12.1,True
Crotone,2015/2016,17425000,23,17.4,True
Crotone,2016/2017,32800000,31,32.8,True
Crotone,2017/2018,41975000,33,42.0,True
Crotone,2018/2019,22850000,29,22.8,True
Crotone,2019/2020,15800000,23,15.8,True
Crotone,2020/2021,52900000,37,52.9,True
Crotone,2021/2022,23725000,31,23.7,True
Crotone,2022/2023,4950000,13,5.0,False
Crotone,2023/2024,100000,1,0.1,False
Empoli,2004/2005,6200000,6,6.2,False
Empoli,2005/2006,23300000,7,23.3,False
Empoli,2006/2007,17700000,5,17.7,False
Empoli,2007/2008,20750000,8,20.8,False
Empoli,2008/2009,13050000,6,13.0,False
Empoli,2009/2010,9850000,11,9.8,False
Empoli,2010/2011,10275000,13,10.3,False
Empoli,2011/2012,7925000,17,7.9,True
Empoli,2012/2013,19525000,19,19.5,True
Empoli,2013/2014,14100000,19,14.1,True
Empoli,2014/2015,48725000,29,48.7,True
Empoli,2015/2016,77375000,32,77.4,True
Empoli,2016/2017,50150000,30,50.2,True
Empoli,2017/2018,33700000,31,33.7,True
Empoli,2018/2019,95625000,36,95.6,True
Empoli,2019/2020,37325000,33,37.3,True
Empoli,2020/2021,58875000,38,58.9,True
Empoli,2021/2022,122800000,31,122.8,True
Empoli,2022/2023,123300000,33,123.3,True
Empoli,2023/2024,88100000,33,88.1,True
Empoli,2024/2025,78400000,22,78.4,True
Empoli,2025/2026,10975000,9,11.0,False
Fiorentina,2004/2005,42500000,7,42.5,False
Fiorentina,2005/2006,65000000,11,65.0,False
Fiorentina,2006/2007,85550000,13,85.6,False
Fiorentina,2007/2008,68700000,11,68.7,False
Fiorentina,2008/2009,102750000,15,102.8,True
Fiorentina,2009/2010,101100000,15,101.1,True
Fiorentina,2010/2011,129150000,20,129.2,True
Fiorentina,2011/2012,95550000,22,95.6,True
Fiorentina,2012/2013,141400000,24,141.4,True
Fiorentina,2013/2014,145150000,26,145.2,True
Fiorentina,2014/2015,195300000,37,195.3,True
Fiorentina,2015/2016,177750000,29,177.8,True
Fiorentina,2016/2017,187625000,30,187.6,True
Fiorentina,2017/2018,206975000,28,207.0,True
Fiorentina,2018/2019,267700000,27,267.7,True
Fiorentina,2019/2020,268000000,30,268.0,True
