team,valore_rosa_eur,n_giocatori_valutati,valore_rosa_milioni
Inter,644410000.0,110,644.4
Juventus,566285000.0,94,566.3
Roma,504070000.0,110,504.1
Milan,486820000.0,87,486.8
Napoli,477055000.0,93,477.1
Atalanta,444155000.0,145,444.2
Como,423250000.0,48,423.2
Lazio,290875000.0,129,290.9
Bologna,276070000.0,133,276.1
Fiorentina,269810000.0,98,269.8
Sassuolo,221870000.0,124,221.9
Udinese,212755000.0,136,212.8
Torino,196195000.0,136,196.2
Cagliari,172345000.0,122,172.3
Genoa,169170000.0,144,169.2
Parma,167285000.0,127,167.3
Lecce,146680000.0,70,146.7
Verona,105565000.0,135,105.6
Pisa,90600000.0,30,90.6
Cremonese,86325000.0,51,86.3
