matchday,date,home_team,away_team
1,2026-08-22,Inter,Monza
1,2026-08-22,Udinese,Como
1,2026-08-22,Genoa,Napoli
1,2026-08-22,Parma,Cagliari
1,2026-08-23,Venezia,Lecce
1,2026-08-23,Frosinone,Juventus
1,2026-08-23,Atalanta,Sassuolo
1,2026-08-23,Torino,Milan
1,2026-08-24,Bologna,Lazio
1,2026-08-24,Roma,Fiorentina
2,2026-08-28,Milan,Venezia
2,2026-08-29,Fiorentina,Frosinone
2,2026-08-29,Monza,Udinese
2,2026-08-29,Sassuolo,Torino
2,2026-08-29,Juventus,Parma
2,2026-08-30,Napoli,Como
2,2026-08-30,Cagliari,Inter
2,2026-08-30,Lazio,Genoa
2,2026-08-31,Lecce,Roma
2,2026-08-31,Atalanta,Bologna
3,2026-09-04,Genoa,Como
3,2026-09-05,Fiorentina,Torino
3,2026-09-05,Inter,Napoli
3,2026-09-05,Roma,Atalanta
3,2026-09-06,Frosinone,Venezia
3,2026-09-06,Parma,Monza
3,2026-09-06,Bologna,Sassuolo
3,2026-09-06,Juventus,Milan
3,2026-09-07,Cagliari,Lecce
3,2026-09-07,Udinese,Lazio
4,2026-09-11,Venezia,Fiorentina
4,2026-09-12,Genoa,Frosinone
4,2026-09-12,Lazio,Milan
4,2026-09-12,Atalanta,Cagliari
4,2026-09-13,Torino,Roma
4,2026-09-13,Como,Parma
4,2026-09-13,Lecce,Monza
4,2026-09-13,Napoli,Bologna
4,2026-09-13,Sassuolo,Juventus
4,2026-09-14,Inter,Udinese
5,2026-09-18,Monza,Sassuolo
5,2026-09-19,Bologna,Torino
5,2026-09-19,Udinese,Cagliari
5,2026-09-19,Roma,Inter
5,2026-09-19,Venezia,Lazio
5,2026-09-20,Fiorentina,Napoli
5,2026-09-20,Frosinone,Como
5,2026-09-20,Parma,Genoa
5,2026-09-20,Juventus,Atalanta
5,2026-09-20,Milan,Lecce
6,2026-10-11,Atalanta,Venezia
6,2026-10-11,Cagliari,Juventus
6,2026-10-11,Genoa,Fiorentina
6,2026-10-11,Como,Roma
6,2026-10-11,Torino,Udinese
6,2026-10-11,Inter,Parma
6,2026-10-11,Lazio,Monza
6,2026-10-11,Sassuolo,Milan
6,2026-10-11,Napoli,Frosinone
6,2026-10-11,Lecce,Bologna
7,2026-10-18,Fiorentina,Como
7,2026-10-18,Milan,Atalanta
7,2026-10-18,Monza,Cagliari
7,2026-10-18,Roma,Genoa
7,2026-10-18,Bologna,Inter
7,2026-10-18,Venezia,Napoli
7,2026-10-18,Frosinone,Sassuolo
7,2026-10-18,Juventus,Lazio
7,2026-10-18,Parma,Torino
7,2026-10-18,Udinese,Lecce
8,2026-10-25,Atalanta,Frosinone
8,2026-10-25,Cagliari,Bologna
8,2026-10-25,Genoa,Venezia
8,2026-10-25,Como,Sassuolo
8,2026-10-25,Torino,Monza
8,2026-10-25,Inter,Fiorentina
8,2026-10-25,Lazio,Parma
8,2026-10-25,Napoli,Roma
8,2026-10-25,Udinese,Milan
8,2026-10-25,Lecce,Juventus
9,2026-10-28,Fiorentina,Atalanta
9,2026-10-28,Milan,Bologna
9,2026-10-28,Monza,Napoli
9,2026-10-28,Roma,Cagliari
9,2026-10-28,Genoa,Juventus
9,2026-10-28,Torino,Como
9,2026-10-28,Venezia,Inter
9,2026-10-28,Frosinone,Lecce
9,2026-10-28,Parma,Udinese
9,2026-10-28,Sassuolo,Lazio
10,2026-11-01,Milan,Inter
10,2026-11-01,Atalanta,Parma
10,2026-11-01,Como,Venezia
10,2026-11-01,Bologna,Monza
10,2026-11-01,Frosinone,Torino
10,2026-11-01,Juventus,Napoli
10,2026-11-01,Lazio,Cagliari
10,2026-11-01,Sassuolo,Fiorentina
10,2026-11-01,Udinese,Roma
10,2026-11-01,Lecce,Genoa
11,2026-11-08,Fiorentina,Juventus
11,2026-11-08,Monza,Atalanta
11,2026-11-08,Roma,Sassuolo
11,2026-11-08,Cagliari,Frosinone
11,2026-11-08,Genoa,Milan
11,2026-11-08,Torino,Lecce
11,2026-11-08,Venezia,Udinese
11,2026-11-08,Inter,Como
11,2026-11-08,Parma,Bologna
11,2026-11-08,Napoli,Lazio
12,2026-11-22,Milan,Frosinone
12,2026-11-22,Monza,Fiorentina
12,2026-11-22,Atalanta,Inter
12,2026-11-22,Como,Cagliari
12,2026-11-22,Bologna,Udinese
12,2026-11-22,Juventus,Venezia
12,2026-11-22,Lazio,Lecce
12,2026-11-22,Parma,Roma
12,2026-11-22,Sassuolo,Genoa
12,2026-11-22,Napoli,Torino
13,2026-11-29,Roma,Monza
13,2026-11-29,Cagliari,Milan
13,2026-11-29,Como,Juventus
13,2026-11-29,Torino,Lazio
13,2026-11-29,Venezia,Bologna
13,2026-11-29,Frosinone,Parma
