Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB
I1,2000-09-30,,Bari,Verona,1658.62,1687.25,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1.9,2.9,3.7,,,,,,,,,,,,,,,,
I1,2000-09-30,,Napoli,Juventus,1597.2,1851.03,0.0,0.0,0.0,0.0,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,,,3.4,2.9,1.95,,,,,,,,,,,,,,,,
I1,2000-10-01,,Atalanta,Lazio,1626.86,1893.07,0.0,0.0,0.0,0.0,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I1,2000-10-01,,Milan,Vicenza,1858.74,1636.83,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.2,5.0,10.0,,,,,,,,,,,,,,,,
I1,2000-10-01,,Parma,Fiorentina,1788.5,1771.08,0.0,0.0,0.0,0.0,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,1.7,3.1,4.6,,,,,,,,,,,,,,,,
I1,2000-10-01,,Perugia,Lecce,1653.98,1630.12,0.0,0.0,0.0,0.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1.85,3.05,3.8,,,,,,,,,,,,,,,,
I1,2000-10-01,,Reggina,Inter,1650.1,1770.36,0.0,0.0,0.0,0.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,3.8,2.9,1.9,,,,,,,,,,,,,,,,
I1,2000-10-01,,Roma,Bologna,1788.45,1700.41,0.0,0.0,0.0,0.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.43,3.3,6.5,,,,,,,,,,,,,,,,
I1,2000-10-01,,Udinese,Brescia,1779.09,1613.37,0.0,0.0,0.0,0.0,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,,,1.57,3.3,5.2,,,,,,,,,,,,,,,,
I1,2000-10-14,,Inter,Napoli,1770.36,1588.76,0.0,0.0,0.0,0.0,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1.25,4.55,8.5,,,,,,,,,,,,,,,,
I1,2000-10-14,,Lazio,Perugia,1893.07,1653.98,3.0,5.0,3.0,5.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.2,5.0,10.0,,,,,,,,,,,,,,,,
I1,2000-10-15,,Bologna,Milan,1695.44,1861.13,0.0,0.0,9.0,15.0,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,3.4,2.85,2.1,,,,,,,,,,,,,,,,
I1,2000-10-15,,Brescia,Parma,1610.01,1784.97,0.0,0.0,3.0,5.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,3.2,2.85,2.2,,,,,,,,,,,,,,,,
I1,2000-10-15,,Fiorentina,Reggina,1774.61,1658.36,3.0,5.0,9.0,15.0,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,,,1.35,3.7,8.5,,,,,,,,,,,,,,,,
I1,2000-10-15,,Juventus,Bari,1851.23,1652.38,9.0,15.0,3.0,5.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.23,4.55,10.0,,,,,,,,,,,,,,,,
I1,2000-10-15,,Lecce,Roma,1633.81,1793.42,3.0,5.0,9.0,15.0,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,,,3.6,2.8,2.05,,,,,,,,,,,,,,,,
I1,2000-10-15,,Verona,Udinese,1685.67,1782.45,3.0,5.0,9.0,15.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,2.45,2.8,2.8,,,,,,,,,,,,,,,,
I1,2000-10-15,,Vicenza,Atalanta,1634.44,1631.05,0.0,0.0,3.0,5.0,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.1,2.8,3.4,,,,,,,,,,,,,,,,
I1,2000-10-21,,Milan,Juventus,1861.13,1851.23,5.0,8.0,9.0,15.0,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,2.15,3.0,3.15,,,,,,,,,,,,,,,,
I1,2000-10-21,,Udinese,Inter,1782.45,1765.34,6.0,10.0,5.0,8.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.45,3.0,2.65,,,,,,,,,,,,,,,,
I1,2000-10-22,,Bari,Atalanta,1652.38,1631.05,2.0,3.0,6.0,10.0,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,,,2.17,2.9,3.25,,,,,,,,,,,,,,,,
I1,2000-10-22,,Brescia,Fiorentina,1610.01,1774.61,2.0,3.0,6.0,10.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,2.45,3.0,2.65,,,,,,,,,,,,,,,,
I1,2000-10-22,,Napoli,Bologna,1585.51,1695.44,0.0,0.0,5.0,8.0,1.0,5.0,A,0.0,2.0,A,,,,,,,,,,,,,2.2,2.9,3.15,,,,,,,,,,,,,,,,
I1,2000-10-22,,Perugia,Parma,1647.55,1784.97,2.0,3.0,3.0,5.0,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,3.55,2.9,2.05,,,,,,,,,,,,,,,,
I1,2000-10-22,,Reggina,Lecce,1658.36,1633.81,5.0,8.0,2.0,3.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,1.9,3.1,3.75,,,,,,,,,,,,,,,,
I1,2000-10-22,,Roma,Vicenza,1793.42,1634.44,9.0,15.0,0.0,0.0,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,,,1.25,4.6,8.5,,,,,,,,,,,,,,,,
I1,2000-10-22,,Verona,Lazio,1685.67,1891.62,3.0,5.0,6.0,10.0,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,4.25,2.95,1.85,,,,,,,,,,,,,,,,
I1,2000-11-01,,Atalanta,Verona,1654.77,1696.9,7.0,12.0,5.0,8.0,3.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1.9,2.9,3.8,,,,,,,,,,,,,,,,
I1,2000-11-01,,Bologna,Reggina,1716.8,1640.17,6.0,10.0,3.0,5.0,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.55,3.0,6.8,,,,,,,,,,,,,,,,
I1,2000-11-01,,Fiorentina,Bari,1772.96,1630.38,5.0,8.0,1.0,2.0,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,,,1.45,3.5,6.5,,,,,,,,,,,,,,,,
I1,2000-11-01,,Inter,Roma,1748.7,1809.05,3.0,5.0,9.0,15.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.4,2.85,2.65,,,,,,,,,,,,,,,,
I1,2000-11-01,,Juventus,Udinese,1837.12,1787.92,7.0,12.0,7.0,12.0,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,1.45,3.4,6.8,,,,,,,,,,,,,,,,
I1,2000-11-01,,Lazio,Brescia,1872.2,1610.38,4.0,7.0,2.0,3.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1.2,5.0,9.0,,,,,,,,,,,,,,,,
I1,2000-11-01,,Lecce,Napoli,1629.21,1567.2,4.0,7.0,0.0,0.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,1.9,2.8,4.0,,,,,,,,,,,,,,,,
I1,2000-11-01,,Parma,Milan,1773.32,1851.98,2.0,3.0,4.0,7.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.5,2.85,2.6,,,,,,,,,,,,,,,,
I1,2000-11-01,,Vicenza,Perugia,1617.27,1656.6,0.0,0.0,4.0,7.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.05,3.0,3.2,,,,,,,,,,,,,,,,
I1,2000-11-04,,Fiorentina,Perugia,1772.96,1656.6,5.0,8.0,3.0,5.0,3.0,4.0,A,2.0,1.0,H,,,,,,,,,,,,,1.45,3.5,6.9,,,,,,,,,,,,,,,,
I1,2000-11-04,,Lazio,Bologna,1872.2,1716.8,6.0,9.0,9.0,11.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.4,3.6,7.6,,,,,,,,,,,,,,,,
I1,2000-11-05,,Bari,Parma,1630.38,1773.32,1.0,3.0,4.0,6.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.9,3.0,2.3,,,,,,,,,,,,,,,,
I1,2000-11-05,,Brescia,Roma,1610.38,1809.05,2.0,3.0,6.0,11.0,2.0,4.0,A,2.0,1.0,H,,,,,,,,,,,,,3.6,2.9,2.0,,,,,,,,,,,,,,,,
I1,2000-11-05,,Milan,Atalanta,1851.98,1654.77,1.0,5.0,9.0,13.0,3.0,3.0,D,1.0,3.0,A,,,,,,,,,,,,,1.35,4.0,7.2,,,,,,,,,,,,,,,,
I1,2000-11-05,,Napoli,Vicenza,1567.2,1617.27,1.0,1.0,3.0,4.0,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,,,1.95,3.05,3.55,,,,,,,,,,,,,,,,
I1,2000-11-05,,Reggina,Juventus,1640.17,1837.12,0.0,4.0,4.0,9.0,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,3.4,2.95,2.05,,,,,,,,,,,,,,,,
I1,2000-11-05,,Udinese,Lecce,1787.92,1629.21,7.0,13.0,4.0,6.0,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1.45,3.45,6.9,,,,,,,,,,,,,,,,
I1,2000-11-05,,Verona,Inter,1696.9,1748.7,4.0,6.0,6.0,8.0,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,,,2.85,2.95,2.35,,,,,,,,,,,,,,,,
I1,2000-11-11,,Atalanta,Brescia,1654.77,1610.38,7.0,11.0,1.0,2.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.7,2.95,5.1,,,,,,,,,,,,,,,,
