season,modello,accuracy,log_loss,brier
2010/2011,XGBoost,0.49736842105263157,1.0075054168701172,0.6039084847425586
2010/2011,XGBoost_calibrato,0.48947368421052634,1.0099895391048679,0.6057814009082962
2010/2011,Quote_di_mercato,0.531578947368421,0.9878042541545031,0.5899880013701096
2010/2011,Baseline_vince_sempre_casa,0.4710526315789474,1.6342150507555342,0.9142105263157896
2011/2012,XGBoost,0.5105263157894737,1.0049670934677124,0.6030991251399811
2011/2012,XGBoost_calibrato,0.5078947368421053,1.0113659343444776,0.6061110793971751
2011/2012,Quote_di_mercato,0.5026315789473684,1.0065508059406114,0.6037091221729681
2011/2012,Baseline_vince_sempre_casa,0.45526315789473687,1.6798524995644206,0.9410526315789475
2012/2013,XGBoost,0.5368421052631579,0.9812079071998596,0.5836800957175718
2012/2013,XGBoost_calibrato,0.55,0.9851106626977757,0.5862826778240038
2012/2013,Quote_di_mercato,0.5578947368421052,0.9648248735491282,0.5704901970762346
2012/2013,Baseline_vince_sempre_casa,0.46578947368421053,1.6494275336918298,0.923157894736842
2013/2014,XGBoost,0.5605263157894737,0.963890016078949,0.5738008863061412
2013/2014,XGBoost_calibrato,0.5473684210526316,0.9621770219753626,0.5751294941199214
2013/2014,Quote_di_mercato,0.5684210526315789,0.9384569865358477,0.5575100917959166
2013/2014,Baseline_vince_sempre_casa,0.4763157894736842,1.6190025678192386,0.9052631578947369
2014/2015,XGBoost,0.46578947368421053,1.0469627380371094,0.6330533683958085
2014/2015,XGBoost_calibrato,0.46842105263157896,1.0540530732938205,0.6383579184597217
2014/2015,Quote_di_mercato,0.47368421052631576,1.0298691101693038,0.6217955858567099
2014/2015,Baseline_vince_sempre_casa,0.4,1.8395835703955248,1.035
2015/2016,XGBoost,0.531578947368421,0.9705865383148193,0.5780376239481322
2015/2016,XGBoost_calibrato,0.5263157894736842,0.9907778872839212,0.592057810592902
2015/2016,Quote_di_mercato,0.531578947368421,0.9592303111000688,0.5722137063105055
2015/2016,Baseline_vince_sempre_casa,0.4605263157894737,1.6646400166281254,0.9321052631578945
2016/2017,XGBoost,0.6,0.9266699552536011,0.5443100854604765
2016/2017,XGBoost_calibrato,0.6078947368421053,0.924551672185881,0.542487067548983
2016/2017,Quote_di_mercato,0.6157894736842106,0.9017671328156427,0.5287470830048351
2016/2017,Baseline_vince_sempre_casa,0.4842105263157895,1.596183843414795,0.8918421052631579
2017/2018,XGBoost,0.5842105263157895,0.9397150278091431,0.5526516223920004
2017/2018,XGBoost_calibrato,0.5815789473684211,0.9438349492953751,0.5555611956882063
2017/2018,Quote_di_mercato,0.5973684210526315,0.8915755765225568,0.5220165299052298
2017/2018,Baseline_vince_sempre_casa,0.43157894736842106,1.7483086727777513,0.9813157894736841
2018/2019,XGBoost,0.531578947368421,0.9735023975372314,0.5776593992096464
2018/2019,XGBoost_calibrato,0.5342105263157895,0.9829825329321534,0.5830860231588733
2018/2019,Quote_di_mercato,0.55,0.9447671675886129,0.5589389064172365
2018/2019,Baseline_vince_sempre_casa,0.4368421052631579,1.7330961898414556,0.9723684210526315
2019/2020,XGBoost,0.55,0.9888758659362793,0.5868090046761475
2019/2020,XGBoost_calibrato,0.5236842105263158,1.0048274023077415,0.595409925830105
2019/2020,Quote_di_mercato,0.5684210526315789,0.9625666561564865,0.5690016211293074
2019/2020,Baseline_vince_sempre_casa,0.41578947368421054,1.7939461215866381,1.0081578947368421
2020/2021,XGBoost,0.5631578947368421,0.9432356953620911,0.5577345675654748
2020/2021,XGBoost_calibrato,0.5605263157894737,0.9505714787245673,0.5609060951451832
2020/2021,Quote_di_mercato,0.5710526315789474,0.9333257782758773,0.5504457307425992
2020/2021,Baseline_vince_sempre_casa,0.40789473684210525,1.8167648459910817,1.021578947368421
2021/2022,XGBoost,0.5368421052631579,0.96663498878479,0.5745893472733139
2021/2022,XGBoost_calibrato,0.5421052631578948,0.9666954075552341,0.5736555714197925
2021/2022,Quote_di_mercato,0.5263157894736842,0.9767047050017765,0.5803420349445669
2021/2022,Baseline_vince_sempre_casa,0.3894736842105263,1.8700085362681163,1.0528947368421053
2022/2023,XGBoost,0.5342105263157895,0.9741716980934143,0.5781618552640756
2022/2023,XGBoost_calibrato,0.5236842105263158,0.9765137899363026,0.5784633085521403
2022/2023,Quote_di_mercato,0.5184210526315789,0.9801666741513322,0.5848374108047675
2022/2023,Baseline_vince_sempre_casa,0.4236842105263158,1.7711273971821948,0.9947368421052631
2023/2024,XGBoost,0.5394736842105263,0.9696139097213745,0.5764182174228051
2023/2024,XGBoost_calibrato,0.55,0.9602509771060397,0.571584599148259
2023/2024,Quote_di_mercato,0.5473684210526316,0.968154906844993,0.577103494145137
2023/2024,Baseline_vince_sempre_casa,0.41842105263157897,1.7863398801184904,1.0036842105263157
2024/2025,XGBoost,0.5210526315789473,0.9766243100166321,0.5815633981224732
2024/2025,XGBoost_calibrato,0.5368421052631579,0.9742190819286326,0.5812016486135332
2024/2025,Quote_di_mercato,0.5263157894736842,0.951876127342753,0.5668732127788481
2024/2025,Baseline_vince_sempre_casa,0.3973684210526316,1.8471898118636725,1.0394736842105263
